"date","count","size"
"2017-03-28 00:00:00",315,2682747419204
"2017-03-29 00:00:00",399,5904381231205
"2017-03-30 00:00:00",657,7813228881923
"2017-03-31 00:00:00",403,3159325986350
"2017-04-01 00:00:00",435,3975146810125
"2017-04-02 00:00:00",282,2653486965104
"2017-04-03 00:00:00",251,2615160735713
"2017-04-04 00:00:00",280,2559904879835
"2017-04-05 00:00:00",331,7779518113301
"2017-04-06 00:00:00",591,2757969045789
"2017-04-07 00:00:00",456,3000621805677
"2017-04-08 00:00:00",303,1776419883906
"2017-04-09 00:00:00",211,2149943381764
"2017-04-10 00:00:00",224,4255075466404
"2017-04-11 00:00:00",244,8671655840915
"2017-04-12 00:00:00",247,1945995001676
"2017-04-13 00:00:00",991,3142075742715
"2017-04-14 00:00:00",247,1741987933668
"2017-04-15 00:00:00",676,1942690820801
"2017-04-16 00:00:00",271,2915079623104
"2017-04-17 00:00:00",365,3346313465565
"2017-04-18 00:00:00",343,2105252583574
"2017-04-19 00:00:00",207,2912637385785
"2017-04-20 00:00:00",636,169233511297414
"2017-04-21 00:00:00",257,3436016237318
"2017-04-22 00:00:00",303,1412173174940
"2017-04-23 00:00:00",262,1884411395688
"2017-04-24 00:00:00",263,1314801903781
"2017-04-25 00:00:00",242,2183040950879
"2017-04-26 00:00:00",218,1141669512358
"2017-04-27 00:00:00",304,10662746656354
"2017-04-28 00:00:00",639,169562283197598
"2017-04-29 00:00:00",200,5529786410410
"2017-04-30 00:00:00",442,3639876934505
"2017-05-01 00:00:00",742,1752963129022
"2017-05-02 00:00:00",202,3538117986346
"2017-05-03 00:00:00",266,6181422873863
"2017-05-04 00:00:00",513,5885738080308
"2017-05-05 00:00:00",740,11960310363979
"2017-05-06 00:00:00",1017,6218991528445
"2017-05-07 00:00:00",1261,3650619360042
"2017-05-08 00:00:00",882,5011815080976
"2017-05-09 00:00:00",233,1402458159292
"2017-05-10 00:00:00",180,2739643137329
"2017-05-11 00:00:00",385,3088395755345
"2017-05-12 00:00:00",251,5008793769372
"2017-05-13 00:00:00",333,5979196460886
"2017-05-14 00:00:00",264,2516715663601
"2017-05-15 00:00:00",222,1627626686436
"2017-05-16 00:00:00",392,168059681688049
"2017-05-17 00:00:00",296,32430815956318
"2017-05-18 00:00:00",347,3004899189596
"2017-05-19 00:00:00",212,3096379299462
"2017-05-20 00:00:00",190,1695338154801
"2017-05-21 00:00:00",220,1814049728232
"2017-05-22 00:00:00",437,2255062925828
"2017-05-23 00:00:00",279,1697797512883
"2017-05-24 00:00:00",339,2246180403508
"2017-05-25 00:00:00",347,3758170085988
"2017-05-26 00:00:00",364,5416478494613
"2017-05-27 00:00:00",424,1705160867596
"2017-05-28 00:00:00",421,2228134958672
"2017-05-29 00:00:00",547,2293380578470
"2017-05-30 00:00:00",386,3822077294126
"2017-05-31 00:00:00",566,2113759470326
"2017-06-01 00:00:00",622,2741089518759
"2017-06-02 00:00:00",461,2416753546598
"2017-06-03 00:00:00",493,2640204510283
"2017-06-04 00:00:00",394,2268573281537
"2017-06-05 00:00:00",504,2835771285088
"2017-06-06 00:00:00",533,5483280616361
"2017-06-07 00:00:00",450,4391513266805
